text,label
Selling cannabis pills. 30mg each. Bulk pricing available.,Drug Sales
gun with filed serial. Clean history. DM me for details.,Weapons Sales
Medical grade benzos. Pharmaceutical quality. Ships express,Drug Sales
bank drops needed for cashout. 80% split. trusted vendor.,Financial Fraud
1000g cocaine available. verified. Escrow accepted. Trusted seller.,Drug Sales
Bulk cannabis - 500g minimum order. Stealth shipping. established vendor,Drug Sales
Professional birth cert forgery. Years of experience. message here,Fake Documents
review of privacy-focused linux distributions,Normal
Carding tutorial + working methods MC specialty Lifetime updates,Financial Fraud
Ransomware as service. Full support. 70/30 split.,Hacking Services
Discussion: What are the best practices for online anonymity?,Normal
Need birth cert? I have 5000+ scans ready All verified $25,Identity Theft
bulk fullz available - 1000 records. corporate data leak. pm for wickr,Identity Theft
Selling AK47 with 500 rounds $50 EU only,Weapons Sales
Tutorial request: How to use Tor browser safely?,Normal
discussion: what are the best practices for online anonymity?,Normal
Fake IDs - AU. Scan-proof. Same day turnaround.,Fake Documents
discussion about cryptocurrency and blockchain technology.,Normal
Counterfeit passport scan with real UV marks. $5. worldwide,Fake Documents
Ammo sale - .223 rounds. 5000+ available. Bulk pricing.,Weapons Sales
Fresh dumps daily - Mastercard only Validity rate 85%+,Financial Fraud
High quality SSN + DOB combos from FL. Fresh not recycled.,Identity Theft
RAT/Botnet rental. 500k bots available. $50/day,Hacking Services
New batch adderall just landed. Limited stock. Order now. PM for wickr,Drug Sales
Medical grade benzos Pharmaceutical quality Ships priority,Drug Sales
fake ids - au. scan-proof. 24hr delivery turnaround.,Fake Documents
DDoS service - take down any site. 250Gbps. BTC only/hour,Hacking Services
Ghost rifle available. No serial. .45. excellent condition.,Weapons Sales
ddos service - take down any site. 500gbps. $10/hour,Hacking Services
Automatic rifle conversion kit. Easy install. BTC only. worldwide,Weapons Sales
Ghost rifle available. No serial. 7.62. new condition.,Weapons Sales
utility bills for proof of address. any eu address. $15,Fake Documents
Fake pay stubs and employment verification. $25. Fast.,Fake Documents
Ammo sale - 7.62 rounds. 50+ available. Bulk pricing.,Weapons Sales
high quality fake passport scan - passes uv. au available.,Fake Documents
Bank drops needed for cashout. 50% split. Trusted vendor.,Financial Fraud
anyone interested in open source security tools?,Normal
Counterfeit DL scan with real holograms. $15. stealth,Fake Documents
Anyone interested in open source security tools?,Normal
Zero day Windows exploit. Remote code execution. message here,Hacking Services
bulk fullz available - 50 records. corporate data leak. message here,Identity Theft
How to secure your home network - tips wanted,Normal
cocaine for sale. Lab tested 98% purity. EU only shipping.,Drug Sales
"fresh dox service - provide name, get full background. 24hr delivery",Identity Theft
Ghost gun available. No serial. .223. excellent condition.,Weapons Sales
New batch xanax just landed. Limited stock. Order now. PM for wickr,Drug Sales
How to secure your home network - tips wanted,Normal
Fresh CC dumps track 1&2 with PIN. UK bins available. $10,Financial Fraud
Fake IDs - EU. Scan-proof. 24hr delivery turnaround.,Fake Documents
Anyone interested in open source security tools?,Normal
Premium identity theft service - fullz with credit scores above 750,Identity Theft
Premium identity theft service - fullz with credit scores above 700,Identity Theft
0day exploits for sale windows vulnerabilities $25,Hacking Services
Automatic gun conversion kit Easy install $25 EU only,Weapons Sales
Fresh dumps daily - Amex only Validity rate 85%+,Financial Fraud
Fake pay stubs and employment verification. $5. Fast.,Fake Documents
Recommendations 4 encrypted messaging apps?,Normal
ghost rifle available. no serial. .223. excellent condition.,Weapons Sales
High quality fake SSN - passes UV. US available.,Fake Documents
selling cloned cards. ships worldwide. $200-500. stealth,Financial Fraud
Recommendations for encrypted messaging apps?,Normal
medical grade benzos. pharmaceutical quality. ships priority,Drug Sales
Suppressors available for handgun. Legal in select. telegram in bio,Weapons Sales
utility bills for proof of address. any ca address. $5,Fake Documents
Cracking service - Netflix accounts. Bulk available. $10,Hacking Services
Selling rifle with 1000 rounds $25 domestic,Weapons Sales
Phishing kit - complete setup. Amazon template. $100,Hacking Services
custom malware development undetectable instant access delivery,Hacking Services
Driver license - any AU state. Real DMV template. $5,Fake Documents
Counterfeit DL scan with real holograms $15 worldwide,Fake Documents
bank drops needed for cashout 50% split trusted vendor,Financial Fraud
0day exploits for sale. Windows vulnerabilities. $10,Hacking Services
Ransomware as service Full support 50/50 split,Hacking Services
RAT/Botnet rental. 50k bots available. $25/day,Hacking Services
Review of privacy-focused Linux distributions,Normal
Tips for protecting personal data online,Normal
5000g adderall available. fresh. Escrow accepted. Trusted seller.,Drug Sales
1000g mdma available. fresh. escrow accepted. trusted seller.,Drug Sales
tactical helmet available. military grade. ships discrete. $5,Weapons Sales
Bank login Citi with $1k. Need cash out partner.,Financial Fraud
xanax for sale. Lab tested 98% purity. US only shipping.,Drug Sales
Selling cloned cards. Ships worldwide. $1000+. EU only,Financial Fraud
Offering complete identity packages - SSN DL credit history Replacement guarantee,Identity Theft
3d printed pistol files for sale. complete package. $5,Weapons Sales
High quality SSN + DOB combos from CA. Fresh not recycled.,Identity Theft
PayPal accounts with $50k++ balance Verified $10 each,Financial Fraud
DDoS service - take down any site. 1000Gbps. BTC only/hour,Hacking Services
Bitcoin trading discussion - market trends today,Normal
"rifle clean, never used. ammo included. Serious buyers only.",Weapons Sales
Passport - CA available. Hologram included. guaranteed,Fake Documents
"selling fresh fresh fullz with ssn, dob, and ssn. $25 each. message here",Identity Theft
Birth certificate + SSN combo New identity package XMR only,Fake Documents
Bank drops needed for cashout 80% split Trusted vendor,Financial Fraud
MDMA vendor with 100+ positive reviews. Stealth guaranteed.,Drug Sales
Looking 4 cybersecurity courses & certifications,Normal
Professional DL scan forgery. Years of experience. DM me,Fake Documents
Bank login Citi with $50k+. Need cash out partner.,Financial Fraud
high quality ssn + dob combos from il. fresh not recycled.,Identity Theft
Selling adderall pills. 10mg each. Bulk pricing available.,Drug Sales
"fresh dox service - provide name, get full background. instant access",Identity Theft
ransomware as service. full support. 70/30 split.,Hacking Services
adderall for sale. lab tested 95% purity. worldwide shipping.,Drug Sales
Premium identity theft service - fullz with credit scores above 800,Identity Theft
discussion about vpn vs tor for privacy,Normal
Domestic domestic vendor selling adderall Fast delivery overnight,Drug Sales
Selling cloned cards. Ships worldwide. $500-1000. EU only,Financial Fraud
Best xanax on market. Vacuum sealed. mylar packaging.,Drug Sales
Review of privacy-focused Linux distributions,Normal
Wire transfer service Any amount up to $50k 25% fee,Financial Fraud
Selling cloned cards. Ships worldwide. $200-500. US only,Financial Fraud
0day exploits for sale Chrome vulnerabilities XMR only,Hacking Services
Premium AU fullz available. Includes full credit report. Bulk discounts. message here,Identity Theft
Looking for privacy-focused alternatives to Google services.,Normal
Domestic US vendor selling LSD Fast delivery same day,Drug Sales
PayPal accounts with $25k+ balance. Verified. $100 each.,Financial Fraud
ddos service - take down any site. 250gbps. btc only/hour,Hacking Services
Western Union transfer available. $5000 for $500. Fast.,Financial Fraud
RAT/Botnet rental. 100k bots available. BTC only/day,Hacking Services
Selling MDMA pills. 5mg each. Bulk pricing available.,Drug Sales
Zero day Chrome exploit. Remote code execution. contact via session,Hacking Services
Medical grade psychedelics Pharmaceutical quality Ships standard,Drug Sales
3d printed pistol files for sale complete package $10,Weapons Sales
xanax for sale lab tested 98% purity stealth shipping,Drug Sales
Domestic domestic vendor selling LSD. Fast delivery 1 week.,Drug Sales
Automatic gun conversion kit. Easy install. BTC only. domestic,Weapons Sales
Wire transfer service. Any amount up to $50k. 20% fee.,Financial Fraud
fresh dumps daily - discover only. validity rate 90%+,Financial Fraud
Diploma/Degree from top 100. Verifiable. BTC only.,Fake Documents
pistol with filed serial. clean history. message here for details.,Weapons Sales
adderall 4 sale. Lab tested 95% purity. EU only shipping.,Drug Sales
passport - eu available hologram included guaranteed,Fake Documents
Database dumps - Fortune 500 leak. 5M records. $10,Hacking Services
"pistol clean, never used. extra mag included. Serious buyers only.",Weapons Sales
0day exploits for sale. chrome vulnerabilities. xmr only,Hacking Services
Selling Visa with high balance CVV included Replacement guarantee,Financial Fraud
premium us fullz available. includes full credit report. bulk discounts. dm me,Identity Theft
Domestic UK vendor selling cocaine Fast delivery same day,Drug Sales
email/social media hacking. facebook specialty. 99% success,Hacking Services
Email/Social media hacking. twitter specialty. 90% success,Hacking Services
"Offering complete identity packages - SSN, DL, credit history. Replacement guarantee",Identity Theft
"Offering complete identity packages - SSN, DL, credit history. Refund if dead",Identity Theft
Selling vintage computer hardware. Working condition. $100,Normal
identity packages: fullz + mother maiden + security answers. xmr only,Identity Theft
Phishing kit - complete setup. PayPal template. $5,Hacking Services
xanax vendor with 500+ positive reviews Stealth guaranteed,Drug Sales
